Start word,Number of won games,Total games,Percentage of won games,Average number of rounds
brand,2312,2314,99.91,3.64
spend,2312,2314,99.91,3.65
spawn,2312,2314,99.91,3.68
blimp,2312,2314,99.91,3.69
plumb,2312,2314,99.91,3.72
tribe,2311,2314,99.87,3.59
crisp,2311,2314,99.87,3.60
grasp,2311,2314,99.87,3.65
ralph,2311,2314,99.87,3.66
morph,2311,2314,99.87,3.69
champ,2311,2314,99.87,3.71
flack,2311,2314,99.87,3.73
lymph,2311,2314,99.87,3.78
plied,2310,2314,99.83,3.61
stand,2310,2314,99.83,3.62
cloth,2310,2314,99.83,3.64
blend,2310,2314,99.83,3.65
fecal,2310,2314,99.83,3.66
chasm,2310,2314,99.83,3.67
crawl,2310,2314,99.83,3.67
pound,2310,2314,99.83,3.68
prawn,2310,2314,99.83,3.68
climb,2310,2314,99.83,3.69
scowl,2310,2314,99.83,3.69
balmy,2310,2314,99.83,3.71
mulch,2310,2314,99.83,3.71
swarm,2310,2314,99.83,3.71
crumb,2310,2314,99.83,3.72
flick,2310,2314,99.83,3.75
belly,2310,2314,99.83,3.85
blast,2309,2314,99.78,3.59
clasp,2309,2314,99.78,3.59
spiel,2309,2314,99.78,3.60
peril,2309,2314,99.78,3.61
scalp,2309,2314,99.78,3.61
plaid,2309,2314,99.78,3.62
solid,2309,2314,99.78,3.62
basil,2309,2314,99.78,3.63
blade,2309,2314,99.78,3.63
bland,2309,2314,99.78,3.63
blond,2309,2314,99.78,3.63
clang,2309,2314,99.78,3.63
spoil,2309,2314,99.78,3.63
prism,2309,2314,99.78,3.64
rapid,2309,2314,99.78,3.64
shoal,2309,2314,99.78,3.64
slurp,2309,2314,99.78,3.64
abled,2309,2314,99.78,3.65
robin,2309,2314,99.78,3.65
slump,2309,2314,99.78,3.66
prank,2309,2314,99.78,3.67
sumac,2309,2314,99.78,3.67
brash,2309,2314,99.78,3.68
clump,2309,2314,99.78,3.68
madly,2309,2314,99.78,3.69
prowl,2309,2314,99.78,3.69
burly,2309,2314,99.78,3.70
shawl,2309,2314,99.78,3.70
amply,2309,2314,99.78,3.71
hotly,2309,2314,99.78,3.71
moldy,2309,2314,99.78,3.71
punch,2309,2314,99.78,3.71
brisk,2309,2314,99.78,3.72
thump,2309,2314,99.78,3.72
below,2309,2314,99.78,3.73
swami,2309,2314,99.78,3.73
flock,2309,2314,99.78,3.75
pixel,2309,2314,99.78,3.75
spell,2309,2314,99.78,3.76
imbue,2309,2314,99.78,3.77
speed,2309,2314,99.78,3.78
wreck,2309,2314,99.78,3.78
nymph,2309,2314,99.78,3.81
bloom,2309,2314,99.78,3.82
cliff,2309,2314,99.78,3.84
bosom,2309,2314,99.78,3.86
jumbo,2309,2314,99.78,3.90
print,2308,2314,99.74,3.57
talon,2308,2314,99.74,3.57
crept,2308,2314,99.74,3.60
ripen,2308,2314,99.74,3.61
sloth,2308,2314,99.74,3.61
solar,2308,2314,99.74,3.61
scrap,2308,2314,99.74,3.62
strap,2308,2314,99.74,3.62
tepid,2308,2314,99.74,3.62
timer,2308,2314,99.74,3.62
brain,2308,2314,99.74,3.63
claim,2308,2314,99.74,3.63
copse,2308,2314,99.74,3.63
party,2308,2314,99.74,3.63
scald,2308,2314,99.74,3.63
scope,2308,2314,99.74,3.63
panic,2308,2314,99.74,3.64
spied,2308,2314,99.74,3.64
amble,2308,2314,99.74,3.65
basin,2308,2314,99.74,3.65
blind,2308,2314,99.74,3.65
broil,2308,2314,99.74,3.65
cloud,2308,2314,99.74,3.65
fault,2308,2314,99.74,3.65
psalm,2308,2314,99.74,3.65
sadly,2308,2314,99.74,3.65
spurn,2308,2314,99.74,3.65
waist,2308,2314,99.74,3.65
cleft,2308,2314,99.74,3.66
impel,2308,2314,99.74,3.66
marsh,2308,2314,99.74,3.66
scamp,2308,2314,99.74,3.66
sharp,2308,2314,99.74,3.66
clown,2308,2314,99.74,3.67
